Symbol,"Company Name"
AAPL,"Apple Inc."
AXP,"American Express Company"
BA,"The Boeing Company"
CAT,"Caterpillar Inc."
CSCO,"Cisco Systems, Inc."
CVX,"Chevron Corporation"
DIS,"The Walt Disney Company"
DWDP,DowDuPont Inc."
GS,"The Goldman Sachs Group, Inc."
HD,"The Home Depot, Inc."
IBM,"International Business Machines Corporation"
INTC,"Intel Corporation"
JNJ,"Johnson & Johnson"
JPM,"JPMorgan Chase & Co."
KO,"The Coca-Cola Company"
MCD,"McDonald's Corporation"
MMM,"3M Company"
MRK,"Merck & Co., Inc."
MSFT,"Microsoft Corporation"
NKE,"NIKE, Inc."
PFE,"Pfizer Inc."
PG,"The Procter & Gamble Company"
TRV,"The Travelers Companies, Inc."
UNH,"UnitedHealth Group Incorporated"
UTX,"United Technologies Corporation"
V,"Visa Inc."
VZ,"Verizon Communications Inc."
WBA,"Walgreens Boots Alliance, Inc."
WMT,"Walmart Inc."
XOM,Exxon Mobil Corporation